stock,year,area,biomass,rec_age
pollock,2020,SEO,45103,3
pollock,2021,SEO,45103,3
pollock,2022,SEO,50500,3
pollock,2023,SEO,50500,3
pollock,2024,SEO,,3
pollock,2020,W/C/WYAK,1007850,3
pollock,2021,W/C/WYAK,1097340,3
pollock,2022,W/C/WYAK,848878,3
pollock,2023,W/C/WYAK,1281980,3
pollock,2024,W/C/WYAK,,3
pcod,2020,,203373,0
pcod,2021,,255661,0
pcod,2022,,178961,0
pcod,2023,,163477,0
pcod,2024,,,0
sablefish,2020,GOA,387000,4
sablefish,2021,GOA,390000,4
sablefish,2022,GOA,240600,4
sablefish,2023,GOA,317000,4
sablefish,2024,GOA,,4
sablefish,2020,AK,657000,4
sablefish,2021,AK,707000,4
sablefish,2022,AK,529800,4
sablefish,2023,AK,621000,4
sablefish,2024,AK,,4
shallow_flat,2020,,339593,
shallow_flat,2021,,342226,
shallow_flat,2022,,442424,
shallow_flat,2023,,449607,
shallow_flat,2024,,,
deep_flat,2020,,86827,
deep_flat,2021,,84771,
deep_flat,2022,,83131,
deep_flat,2023,,81328,
deep_flat,2024,,,
rex,2020,,99383,3
rex,2021,,101244,3
rex,2022,,124543,3
rex,2023,,127297,3
rex,2024,,,3
arrowtooth,2020,,1325867,1
arrowtooth,2021,,1321700,1
arrowtooth,2022,,1268140,1
arrowtooth,2023,,1265950,1
arrowtooth,2024,,,1
flathead,2020,,282371,1
flathead,2021,,280980,1
flathead,2022,,279975,1
flathead,2023,,294188,1
flathead,2024,,,1
pop,2020,,554569,2
pop,2021,,613522,2
pop,2022,,650832,2
pop,2023,,636129,2
pop,2024,,,2
nork,2020,,85057,2
nork,2021,,102715,2
nork,2022,,100371,2
nork,2023,,95452,2
nork,2024,,,2
shortraker,2020,,31465,
shortraker,2021,,31465,
shortraker,2022,,31331,
shortraker,2023,,31331,
shortraker,2024,,,
dusky,2020,,54626,4
dusky,2021,,97702,4
dusky,2022,,95682,4
dusky,2023,,107160,4
dusky,2024,,,4
rebs,2020,,40336,3
rebs,2021,,40432,3
rebs,2022,,26060,3
rebs,2023,,25837,3
rebs,2024,,,3
dsr,2020,,10620,
dsr,2021,,10648,
dsr,2022,,12388,
dsr,2023,,17511,
dsr,2024,,,
thornyhead,2020,,89609,
thornyhead,2021,,86802,
thornyhead,2022,,86802,
thornyhead,2023,,72349,
thornyhead,2024,,,
orox,2020,,70687,
orox,2021,,70687,
orox,2022,,67325,
orox,2023,,67325,
orox,2024,,,
atka,2020,,,
atka,2021,,,
atka,2022,,,
atka,2023,,,
atka,2024,,,
big,2020,,42779,
big,2021,,42779,
big,2022,,38220,
big,2023,,,
big,2024,,,
longnose,2020,,34487,
longnose,2021,,34487,
longnose,2022,,36162,
longnose,2023,,36162,
longnose,2024,,,
skate,2020,,11662,
skate,2021,,11662,
skate,2022,,13114,
skate,2023,,13114,
skate,2024,,,
sharks,2020,,54301,
sharks,2021,,23289,
sharks,2022,,23289,
sharks,2023,,31243,
sharks,2024,,,
octopus,2020,,12257,
octopus,2021,,1199,
octopus,2022,,,
octopus,2023,,,
octopus,2024,,,
